Date/Time,Latitude,Longitude,License Plate,License State
1462515024000,39.28611616107651,-76.67375780106565,A874983,MD
1462520388000,39.28555002418198,-76.67484294586623,A956528,MD
1462524323000,39.28580592729047,-76.67340226102029,6M/D 3275,MD
1462524492000,39.28444997639039,-76.67637286523366,A769112,MD
1462527622000,39.28611616107651,-76.67375780106565,A078328,MD
1462527657000,39.28580592729047,-76.67340226102029,GNF976,MD
1462527801000,39.28414425164067,-76.6780913022735,A541413,MD
1462530882000,39.28378083247877,-76.67872625756031,6CLG82,MD
1462530901000,39.28631331757233,-76.67375274506986,69903 C/C,MD
1462531067000,39.29411780249758,-76.67121168963709,NBN601,MD
1462531313000,39.294123911743284,-76.6711187095948,9AMY35,MD
1462531522000,39.28378991951973,-76.67877926191942,9BLS35,MD
1462531601000,39.294122905255854,-76.67113352726973,61636 B/Y,MD
1462531603000,39.28707711922905,-76.67236965447397,2Y/Z8627,MD
1462531751000,39.286585868688555,-76.67327946471718,86201 C/C,MD
1462531825000,39.29411761444518,-76.67121460093662,86201 C/C,MD
1462531865000,39.283781385937395,-76.67872948586309,9CNO573,MD
1462531902000,39.294119198695654,-76.67119007464727,A164886,MD
1462531963000,39.28705905141442,-76.6723688592084,51959 B/Y,MD
1462532027000,39.28702504748975,-76.67236736250554,2M/D 9595,MD
1462532069000,39.28705514465736,-76.67236868725018,19241 C/B,MD
1462532088000,39.29422200362229,-76.67117055401896,HND661,MD
1462532115000,39.294117273721355,-76.67121987579134,5ALS48,MD
1462532366000,39.28634523884708,-76.67379508728196,6CLL64,MD
1462532446000,39.294120699891614,-76.6711668341514,A052078,MD
1462532469000,39.29411913922754,-76.67119099529219,YTU823,MD
1462532610000,39.28378081330659,-76.67872614572975,4CLP26,MD
1462533069000,39.28510135790888,-76.67616019805062,8K/P2913,MD
1462533704000,39.29422055523774,-76.67120978965262,43513 C/B,MD
1462534584000,39.294124615520175,-76.67110834847468,A933128,MD
1462534972000,39.2942228941669,-76.67115642923743,87324 C/B,MD
1462535051000,39.29412091829036,-76.67116345305051,31837 C/B,MD
1462535228000,39.29412453894436,-76.67110947583654,A074448,MD
1462535296000,39.294117572290446,-76.67121525354754,8ALH35,MD
1462535346000,39.29422027794212,-76.67123661992443,CQM582,MD
1462535400000,39.29412174409552,-76.67115066849614,A410854,MD
1462535438000,39.2941187479496,-76.67119705279141,9ALD59,MD
1462535643000,39.294121644013416,-76.67115221789929,77461 C/C,MD
1462535705000,39.294123244766425,-76.67112852893885,1J/A3994,MD
1462535725000,39.29412150891233,-76.67115430944239,A104130,MD
1462535741000,39.28522703156362,-76.67602673713722,2CNR269,MD
1462535838000,39.294121014927335,-76.67116195698247,2CNR269,MD
1462535908000,39.29412373256147,-76.6711213475393,A028817,MD
1462535937000,39.29422010960513,-76.67125290769337,MHZ267,MD
1462535963000,39.29422289218284,-76.67115646070636,9CMB60,MD
1462524714000,39.29412279630978,-76.67113513119195,A829740,MD
1462527754000,39.28573177657415,-76.6732897714884,34350 C/C,MD
1462529906000,39.294220745849294,-76.67119134666552,A672910,MD
1462530110000,39.28695634447991,-76.67272937925927,5AMX46,MD
1462530915000,39.29411921550146,-76.6711898144712,XOG559,MD
1462530931000,39.28378890441946,-76.67877334087873,8M/D 8775,MD
1462530950000,39.29412337364712,-76.6711266315359,54588 C/B,MD
1462531293000,39.28634641903905,-76.67379665275637,TZX698,MD
1462531305000,39.28534491139983,-76.67532383924855,6BMC87,MD
1462531630000,39.28703734569808,-76.67236790381845,28544 B/Y,MD
1462531774000,39.28378659732223,-76.67875988366968,A796910,MD
1462531914000,39.28710496325649,-76.67237088004532,3CMS26,MD
1462531957000,39.294119042422395,-76.67119249396363,5AMN04,MD
1462531990000,39.294123103577974,-76.67113060753866,42479 B/Y,MD
1462532039000,39.29422180369631,-76.6711737250121,8AMV12,MD
1462532048000,39.29412324212521,-76.67112856782326,A317137,MD
1462532071000,39.283789961926736,-76.67877950927783,8BMI09,MD
1462532226000,39.28379352988113,-76.67880032101809,DED821,MD
1462532249000,39.287040394660046,-76.67236803802032,3CNZ942,MD
1462532267000,39.294223301831444,-76.6711499633373,2CNR355,MD
1462532293000,39.29412436622802,-76.67111201859518,A066934,MD
1462532327000,39.2870277345695,-76.67236748077895,1CLU29,MD
1462532384000,39.294220364036,-76.67122828974524,A894070,MD
1462532547000,39.287099797294346,-76.67237065266244,A050297,MD
1462532551000,39.294123277662116,-76.67112804464294,7J/N6781,MD
1462532606000,39.29412051846333,-76.67116964290084,97361 C/A,MD
1462534408000,39.29422255689788,-76.67116177860592,7AMR92,MD
1462534576000,39.29412140736384,-76.67115588154716,A836243,MD
1462534610000,39.29412436558697,-76.67111202803288,4BLV13,MD
1462534621000,39.29422411347513,-76.6711370899903,1AMJ55,MD
1462534657000,39.294122905255854,-76.67113352726973,2M/D 6638,MD
1462534696000,39.29412219581562,-76.67114397176661,MST598,MD
